Video Title,Views,Affect_Past,Affect_Now,Affect_Pot,Affect_Prac,Affect_Psych,Fam_Rec,Fam_Nost,Fam_Trend,Fam_Neg
"How This Loading Screen Changed Everything","3.7k",6,3,4,10,0,4,3,8,3
"Evolutionary gesture that changed the internet forever","4.5k",10,5,0,6,10,10,0,0,7
"Something Strange Happens When You Straighten The Cursor","22k",0,5,0,5,0,10,0,0,0
"Why 2026 will be the last year of the internet as you know it","7.5k",0,7,10,7,10,2,0,0,0
"The Flat Edge Dilemma","86k",0,7,0,5,0,10,6,0,0
"Why Windows Can't Copy This Apple Button?","60k",2,7,0,5,0,10,0,0,0
"Apple Design: The interface we lost for 2000 years","12k",0,0,0,3,0,0,0,0,0
"The Hidden Cost of ""Clean"" Design","424k",2,10,2,6,5,8,9,0,2
"We built everything just to delete it","68k",1,10,7,10,0,6,8,0,3
"why Windows XP had to look like a toy","22k",5,0,0,10,0,10,10,0,0
"Apple Design: The Icon That Violates Rule","97k",1,2,0,3,0,7,0,0,5
"Why the First iPhone Had to Mimic a Door Latch","12k",5,0,0,5,3,10,10,0,0
"Apple Design: The Feature That Admits Defeat","47k",0,10,0,5,0,4,0,0,8
"The Death of 'Premium' Apple Design","126k",0,10,4,3,3,10,0,10,0
"Why Links Are Blue (Itâ€™s Not Biology)","7.8k",2,1,0,10,0,8,0,0,0
"Apple Design: the four notes that changed sound design forever","9.2k",5,2,0,10,0,0,0,0,0
"The Green Bubble: A Design That Decides Who Belongs","8.9k",8,10,2,0,10,8,0,0,10
"Apple's 0.5mm: The Detail That Redefined The Smartphone","59k",5,10,1,10,0,3,0,0,0
"The Most Irrational iPhone Ever Made","61k",0,10,0,4,3,5,0,10,0
"The 1956 invention that defined modern web design","15k",10,8,0,10,0,0,0,0,0
"The One Feature Apple & Microsoft Refuse to Steal","169k",4,8,0,5,0,9,0,0,0
"Apple Design: The Health Data Trap","9.2k",10,10,5,0,10,5,0,0,10
"Lovart: What This AI Agent Reveals About the End of Design","3.3k",0,10,10,10,0,1,0,0,0
"Apple Design: why we keep coming back to this?","204k",0,5,3,4,3,8,0,8,0
"the most important application on your computer will soon cease to exist","31k",0,0,10,6,0,8,0,0,0
"Apple Design: the icon that began a decade of gradients","93k",5,3,0,8,0,7,0,0,0
"Apple Design: The Reflection That Ended an Era (iOS 26 design review)","144k",0,8,4,10,0,9,0,8,0
"What Made the Leopard Dock So Special?","132k",5,0,0,8,0,9,0,0,0
"Apple Design: The twenty pixels that changed design forever","295k",5,3,0,10,0,7,0,0,0
"why the iPhone is designed to break your brain","23k",9,9,0,2,10,9,0,0,10
"Apple Design: The Return of Color","58k",0,4,4,3,1,5,2,0,0
"why does it look so good?","6.6k",0,4,0,0,10,6,0,0,0
"Apple Design: Welcome back, Skeumorphism","90k",0,6,4,6,0,10,6,0,0
"Why Some Designs Are Impossible to Deconstruct: Gestalt","2.5k",,,,,,,,,
"This Design Error Costed me THOUSANDS of dollars","1.3k",,,,,,,,,
"OpenAI's new logo. Do you see the difference?","5.5k",,,,,,,,,